,transaction_id,datetime,category_id,category_name,merchant_name,amount,payment_method,transaction_type
0,9787edf2-c313-41be-89a2-7c560128e485,2019-11-11 02:54:00,10,통신,KT,65000,우리카드 DA@카드의정석,정기결제
1,1fe5d69e-7539-41bc-8234-8b760b781dbb,2019-11-11 03:29:00,05,영화/문화,Netflix,17000,우리카드 DA@카드의정석,정기결제
2,338f8ce9-85e5-4910-8ca8-9e63cd7514b1,2019-11-11 03:46:00,05,영화/문화,Youtube,7900,우리카드 DA@카드의정석,정기결제
3,5400ceae-67a4-4f73-b867-2905dca4a1c9,2019-11-11 05:52:00,02,카페/디저트,Cafe,80000,우리카드 DA@카드의정석,정기결제
4,4622d06e-5718-4a0a-96b5-3c4ccc54d981,2019-11-11 05:56:00,13,교통(대중),Transportation,62000,우리카드 DA@카드의정석,정기결제
5,9136d4ad-f27e-4ce7-ab8d-2c495e3003e1,2019-11-11 06:39:00,03,외식,이삭토스트,4350,우리카드 DA@카드의정석,일반결제
6,6ea28b15-d0a7-43b9-a7ea-ae636f850440,2019-11-11 17:24:00,07,쇼핑,신세계백화점,10840,우리카드 DA@카드의정석,일반결제
7,db9a0eb7-b48c-431b-8eeb-87ffc064f074,2019-11-11 18:01:00,03,외식,삼원가든,8320,삼성카드 라이프파트너,일반결제
8,11836c4f-2492-44c7-ad58-db1bfe31537a,2019-11-12 05:47:00,01,편의점,세븐일레븐,6350,우리카드 위비 알뜰주유소 할인카드,일반결제
9,75175f39-7354-44fb-a44a-0371c5ab4e57,2019-11-12 11:30:00,01,편의점,세븐일레븐,8230,NH농협 올바른LIFE카드(할인형),일반결제
10,99d75477-5f8b-40f7-b92e-efe040a8bd6b,2019-11-12 13:09:00,06,마트,트레이더스,12100,IBK 무직타이거 카드(신용),일반결제
11,fc5e260a-eaf2-45ee-ac16-4dc447c5f0aa,2019-11-12 23:29:00,14,기타,철물점,12890,우리카드 DA@카드의정석,일반결제
12,63300ee1-0aaa-4c51-9cd9-7b172f51270f,2019-11-13 07:44:00,07,쇼핑,무신사,10670,우리카드 DA@카드의정석,일반결제
13,fbec1ed8-57c4-42c3-8878-9ef0dcacfa54,2019-11-13 08:35:00,03,외식,VIPS,7730,NH농협 올바른LIFE카드(할인형),일반결제
14,a5c5afe1-89fd-4534-a4f0-78a1c89d43e7,2019-11-13 08:41:00,07,쇼핑,자라,8540,IBK 무직타이거 카드(신용),일반결제
15,4ba99d78-b498-45d0-a5b1-c79954cecee7,2019-11-13 08:57:00,03,외식,맥도날드,7560,우리카드 DA@카드의정석,일반결제
16,33bcb8a9-c71d-4564-8992-b886c8f216c1,2019-11-13 16:54:00,03,외식,원할머니보쌈,7360,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
17,dd91cf6b-b102-4282-b5b2-e008e0516aaa,2019-11-13 18:38:00,06,마트,홈플러스,9240,우리카드 DA@카드의정석,일반결제
18,61a59adc-5158-4b86-ae70-06f2842d85cc,2019-11-13 22:42:00,14,기타,레저,16990,삼성카드 라이프파트너,일반결제
19,fc31654d-f6ae-4936-8071-4e0f2b23ace0,2019-11-13 23:25:00,06,마트,GS마트,9990,NH농협 올바른LIFE카드(할인형),일반결제
20,3955b110-fc2e-4301-9232-231d8dd7b77d,2019-11-14 12:23:00,06,마트,마켓컬리,9020,우리카드 DA@카드의정석,일반결제
21,e3245730-2ede-4051-965e-040dd4946414,2019-11-14 13:01:00,07,쇼핑,지그재그,9650,우리카드 위비 알뜰주유소 할인카드,일반결제
