,transaction_id,datetime,category_id,category_name,merchant_name,amount,payment_method,transaction_type
0,c2559353-f95d-42ff-a9c0-36fc58eef3cf,2019-11-11 01:18:00,05,영화/문화,Youtube,7900,우리카드 DA@카드의정석,정기결제
1,dca9fd33-93de-416a-858e-b663d53690b0,2019-11-11 03:35:00,05,영화/문화,Netflix,17000,우리카드 DA@카드의정석,정기결제
2,e7468a52-a233-4665-8f37-9da5da41af0b,2019-11-11 04:53:00,10,통신,KT,65000,우리카드 DA@카드의정석,정기결제
3,d239abdf-570b-4e97-b446-9c3244dc6f42,2019-11-11 04:55:00,02,카페/디저트,Cafe,80000,우리카드 DA@카드의정석,정기결제
4,9f18336d-ce94-492b-85e7-6074ef9a354a,2019-11-11 05:20:00,13,교통(대중),Transportation,70000,우리카드 DA@카드의정석,정기결제
5,372f5f47-999f-4691-b4e4-20bfdb38f306,2019-11-11 06:39:00,03,외식,이삭토스트,4330,우리카드 DA@카드의정석,일반결제
6,99155bef-28c0-4e9b-960b-63a92a36856d,2019-11-11 17:24:00,07,쇼핑,신세계백화점,11110,우리카드 DA@카드의정석,일반결제
7,e7ab2ef7-7b8f-409a-8c8c-eba90662200c,2019-11-11 18:01:00,03,외식,삼원가든,8280,삼성카드 라이프파트너,일반결제
8,11836c4f-2492-44c7-ad58-db1bfe31537a,2019-11-12 05:47:00,01,편의점,세븐일레븐,6350,우리카드 위비 알뜰주유소 할인카드,일반결제
9,75175f39-7354-44fb-a44a-0371c5ab4e57,2019-11-12 11:30:00,01,편의점,세븐일레븐,8230,NH농협 올바른LIFE카드(할인형),일반결제
10,7062dff6-0591-47e1-8086-08612fa83aa4,2019-11-12 13:09:00,06,마트,트레이더스,12250,IBK 무직타이거 카드(신용),일반결제
11,73905263-b653-4dba-9faf-c6cf4c5fccfb,2019-11-12 14:47:00,04,주유,SK엔크린,7540,우리카드 DA@카드의정석,일반결제
12,1092285e-e27c-46ea-ba1b-16b957ea38ad,2019-11-12 23:29:00,14,기타,철물점,12570,우리카드 DA@카드의정석,일반결제
13,0d722918-1db1-4e86-91cc-c8d3c1676505,2019-11-13 08:35:00,03,외식,VIPS,7680,NH농협 올바른LIFE카드(할인형),일반결제
14,938df7c1-ab0b-44fc-99b0-6cf925dfa1fb,2019-11-13 08:41:00,07,쇼핑,자라,8750,IBK 무직타이거 카드(신용),일반결제
15,9e15ebcc-66d1-47f6-8659-010a4ede79b6,2019-11-13 08:57:00,03,외식,맥도날드,7520,우리카드 DA@카드의정석,일반결제
16,e470dab0-e520-4332-a4a5-8bd60a328c88,2019-11-13 13:44:00,09,교육/육아,알라딘,13260,우리카드 DA@카드의정석,일반결제
17,3487246c-21f9-4072-be22-eba1ad3d581e,2019-11-13 16:54:00,03,외식,원할머니보쌈,7320,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
18,f311a3a1-45a8-4731-a00f-6ea257647ecf,2019-11-13 18:38:00,06,마트,홈플러스,9350,우리카드 DA@카드의정석,일반결제
19,32ff2dc2-a9fb-4d74-b3b3-f4458574fb9c,2019-11-13 22:42:00,14,기타,레저,16570,삼성카드 라이프파트너,일반결제
20,1812362f-c076-492d-b3a4-69a556f7e6bb,2019-11-13 23:25:00,06,마트,GS마트,10110,NH농협 올바른LIFE카드(할인형),일반결제
21,890d58e5-79c9-4246-b556-aeac81e87e90,2019-11-14 12:23:00,06,마트,마켓컬리,9130,우리카드 DA@카드의정석,일반결제
22,413b48c4-ef22-4e93-8fde-a771305d9749,2019-11-14 13:01:00,07,쇼핑,지그재그,9880,우리카드 위비 알뜰주유소 할인카드,일반결제
23,7b189d5d-9b24-4a55-8fe8-8b776009a05a,2019-11-14 14:56:00,04,주유,타이어뱅크,8280,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
24,e5b23a6d-00c9-478e-93f8-b32d48e23143,2019-11-14 15:03:00,08,병원/약국,내과,9030,IBK 무직타이거 카드(신용),일반결제
25,603fea1d-b88c-4cbc-9383-f05717610223,2019-11-14 15:12:00,09,교육/육아,yes24,7930,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
26,6420b22a-cae9-450b-9693-ffd8bc6232e3,2019-11-14 19:56:00,06,마트,이마트,7990,IBK 무직타이거 카드(신용),일반결제
27,e61f82b0-9676-43ab-8c80-d6c611b154fc,2019-11-14 20:18:00,14,기타,인테리어,15380,우리카드 DA@카드의정석,일반결제
28,63203fa9-0bf3-4e35-9392-5553ceef3ff2,2019-11-14 21:25:00,14,기타,회원제클럽,15500,우리카드 DA@카드의정석,일반결제
29,21e219ce-5158-4417-ab6d-0f79fac368c1,2019-11-14 23:35:00,08,병원/약국,약국,9520,NH농협 올바른LIFE카드(할인형),일반결제
30,671adde5-86b8-4fef-ad44-3c485e8a10da,2019-11-15 06:01:00,03,외식,맥도날드,5790,우리카드 DA@카드의정석,일반결제
31,507a61a9-9d8f-4ee1-a12c-6678933c3b76,2019-11-15 06:20:00,06,마트,트레이더스,10710,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
32,d6aecadf-8c8e-4021-8662-4e644bdff0e0,2019-11-15 06:45:00,14,기타,레저,16780,우리카드 DA@카드의정석,일반결제
33,067ab1d7-7059-4387-b89f-52d2a8737d14,2019-11-15 07:22:00,06,마트,롯데마트,6710,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
34,3eaf5f08-28c5-41e3-a8ac-4518eb8f54d8,2019-11-15 12:47:00,06,마트,GS마트,8450,우리카드 우리 K-패스 (COOKIE CHECK),일반결제
35,bf3b1681-0e4d-464e-b97e-8bfbd3ec2149,2019-11-15 14:36:00,04,주유,현대오일뱅크,6870,우리카드 DA@카드의정석,일반결제
36,01183a0a-b908-49f4-bd24-28d4e8eca39b,2019-11-15 14:58:00,09,교육/육아,리디북스,9670,IBK 무직타이거 카드(신용),일반결제
37,9b3b5b4c-ff2a-40c0-9ab3-83c9e88188c3,2019-11-15 20:27:00,03,외식,맥도날드,6130,NH농협 올바른LIFE카드(할인형),일반결제
38,f8b03457-ad7b-43c5-b2f0-b15c554047fe,2019-11-15 20:45:00,06,마트,홈플러스,11590,우리카드 위비 알뜰주유소 할인카드,일반결제
39,db19de67-bc3a-4abb-a5aa-9765a8d3bb7d,2019-11-16 11:04:00,04,주유,현대오일뱅크,5920,우리카드 DA@카드의정석,일반결제
40,f5b127e1-9a72-4bf3-bb54-93e6ff630fac,2019-11-16 13:22:00,06,마트,홈플러스,8630,NH농협 올바른LIFE카드(할인형),일반결제
41,dfb44eef-7038-4338-8c2d-189b2422262e,2019-11-17 07:08:00,11,자동차/하이패스,서해안고속도로,13640,NH농협 올바른LIFE카드(할인형),일반결제
